vehicleParameterScenario;subCategory;country;parameter;truckClass;truckTechnology;unit;note;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
HC_LTM; Vehicle Spec ;All;Battery capacity;Tractor-trailer;BET large battery;kWh;assumed to max. 600km range;450;464;478;492;506;520;540;560;580;600;620;626;632;638;644;650;664;678;692;706;720;728;736;744;752;760;760;760;760;760;760
HC_LTM; Vehicle Spec ;All;Battery capacity;Tractor-trailer;BET small battery;kWh;assumed to max. 400km range;300;310;320;330;340;350;364;378;392;406;420;426;432;438;444;450;456;462;468;474;480;484;488;492;496;500;500;500;500;500;500
HC_LTM; Vehicle Spec ;All;Battery capacity;Rigid;BET large battery;kWh;eq. to Tractor - max. 600 km;400;418;436;454;472;490;508;526;544;562;580;586;592;598;604;610;624;638;652;666;680;690;700;710;720;730;730;730;730;730;730
HC_LTM; Vehicle Spec ;All;Battery capacity;Rigid;BET small battery;kWh;eq. to Tractor - max. 400 km;260;272;284;296;308;320;334;348;362;376;390;396;402;408;414;420;432;444;456;468;480;480;480;480;480;480;480;480;480;480;480
HC_LTM; Vehicle Spec ;All;Share of Useable Energy;All;FCET, BET;%;incl. oversizing, DoD, SoH, cell-to-pack delta;70%;71%;72%;73%;74%;75%;75%;75%;75%;75%;75%;76%;77%;78%;79%;80%;80%;80%;80%;80%;80%;81%;82%;83%;84%;85%;85%;85%;85%;85%;85%
HC_LTM; Energy ;All;Specific Energy Consumption;Tractor-trailer;BET large battery;kWh/100km;around 1 kWh/km as proposed by Traton;144;143;142;140;139;130;131;130;128;127;120;125;124;122;121;110;119;118;116;115;105;114;114;114;114;105;114;114;114;114;105
HC_LTM; Energy ;All;Specific Energy Consumption;Tractor-trailer;BET small battery;kWh/100km;Delta_Weight based on battery weight delta - approx 1.5 to 2.5 kWh/100km/t ;139;136;133;131;128;125;123;121;119;117;115;113;111;109;107;105;104;103;102;101;100;100;100;100;100;100;100;100;100;100;100
HC_LTM; Energy ;All;Specific Energy Consumption;Rigid;BET large battery;kWh/100km;Closer together (rigid & articulated) as proposed by Traton -> 90% of Tractor-trailer (prev. 85%);130;136;135;133;132;124;124;123;122;121;114;119;117;116;115;105;113;112;111;109;100;108;108;108;108;100;108;108;108;108;100
HC_LTM; Energy ;All;Specific Energy Consumption;Rigid;BET small battery;kWh/100km;Closer together (rigid & articulated) as proposed by Traton -> 90% of Tractor-trailer (prev. 85%);125;129;127;124;121;119;117;115;113;111;109;107;105;104;102;100;99;98;97;96;95;95;95;95;95;95;95;95;95;95;95
HC_LTM; Vehicle Spec ;All;Emergency Range;Tractor-trailer;BET large battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
HC_LTM; Vehicle Spec ;All;Emergency Range;Tractor-trailer;BET small battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
HC_LTM; Vehicle Spec ;All;Emergency Range;Rigid;BET large battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
HC_LTM; Vehicle Spec ;All;Emergency Range;Rigid;BET small battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
HC_LTM; Vehicle Spec ;All;Range;Tractor-trailer;BET large battery;km;calc. rounded;190;200;210;230;240;270;280;290;310;320;360;350;360;380;390;440;420;430;450;460;520;490;500;510;520;590;540;540;540;540;590
HC_LTM; Vehicle Spec ;All;Range;Tractor-trailer;BET small battery;km;calc. rounded;120;130;140;150;170;180;190;200;220;230;240;260;270;280;300;310;320;330;340;350;350;360;370;380;390;400;400;400;400;400;400
HC_LTM; Vehicle Spec ;All;Range;Rigid;BET large battery;km;calc. rounded;190;190;200;220;230;270;280;290;300;320;350;350;360;370;380;440;410;430;440;460;520;490;500;510;530;590;540;540;540;540;590
HC_LTM; Vehicle Spec ;All;Range;Rigid;BET small battery;km;calc. rounded;120;120;130;140;160;170;180;200;210;220;240;250;260;280;290;310;320;330;350;360;370;380;380;390;390;400;400;400;400;400;400
