"country";"truckClass";"truckTechnology";"vehicleParameterScenario";"period";"paperScen";"parameter";"unit";"value"
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for H2 tax reduction";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for H2 tax reduction";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for H2 tax reduction";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for H2 tax reduction";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";97750
"DE";"Rigid";"BET large battery";"LC_HTM";2035;"Current policies";"Electric motor costs";"EUR/veh";6400,8
