"period";"country";"energyCarrierParameterScenario";"paperScen";"unit";"parameter";"value";"energyCarrier"
2030;"NL";"BAU";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"BAU";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"BAU";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"NL";"PROG";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Current Policies | Interest rate";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Current Policies | Resale value";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Current Policies | Vehicle insurance";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"BAU";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"PL";"PROG";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Current Policies | Interest rate";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Current Policies | Resale value";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Current Policies | Vehicle insurance";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"BAU";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2030;"UK";"PROG";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Removed policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Current Policies | Interest rate";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Current Policies | Removed CO2 price";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Current Policies | Resale value";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Current Policies | Urban depot-only charging";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Current Policies | Vehicle insurance";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Current policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Removed policies except for H2 tax reduction";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Removed policies except for bio/syn fuel mandates";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"BAU";"Sensitivity | Removed policies | Removed diesel efficiency gains";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
2035;"DE";"PROG";"Current policies";"tCO2e/kWh";"CO2 intensity diesel";0,0002682;"Diesel fossil"
