"country";"energyCarrierParameterScenario";"period";"value";"paperScen";"energyCarrier";"parameter";"unit"
"FR";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"PROG";2030;0,106;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"PROG";2030;0,244;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"PROG";2035;0,119;"Removed policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"PROG";2035;0,215;"Removed policies";"Diesel syn";"Wholesale";"EUR/kWh"
