"country","energyCarrierParameterScenario","period","value","paperScen","energyCarrier","parameter","unit"
"PL","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","BAU",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","PROG",2035,0.066032811393,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","BAU",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","PROG",2040,0.069409963512,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","BAU",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","PROG",2045,0.073230220657,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","BAU",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","PROG",2050,0.079324918514,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","BAU",2030,0.140715825165,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","BAU",2030,0.26,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","BAU",2035,0.159117342372,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","BAU",2035,0.2388,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","BAU",2040,0.172288938243,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","BAU",2040,0.2176,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","BAU",2045,0.169571282203,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","BAU",2045,0.1964,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","BAU",2050,0.151739792681,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","BAU",2050,0.1752,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2030,0.106340559242,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2030,0.244,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2035,0.118651367567,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2035,0.2148,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2040,0.131040601035,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2040,0.1856,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2045,0.142438806818,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2045,0.1564,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2050,0.151451382,"Removed policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2050,0.1272,"Removed policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","BAU",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"UK","PROG",2030,0.063495430079,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","BAU",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2035,0.066032811393,"Removed policies","Diesel fossil","Wholesale","EUR/kWh"
